Experiment: ex3040714  Selected Filter: FAM (465-510)
Include	Color	Pos	Name	Cp	Concentration	Standard	Status
True	255	A1	1773	25.67		0	
True	255	A2	1773	20.68		0	
True	255	A3	1773	22.53		0	
True	255	A4	1774	26.07		0	
True	255	A5	1774	21.77		0	
True	255	A6	1774	22.84		0	
True	65280	A7	1775			0	
True	65280	A8	1775			0	
True	255	A9	1775	36.26		0	
True	255	A10	1776	27.04		0	
True	255	A11	1776	22.08		0	
True	255	A12	1776	22.94		0	
True	65280	A13	1777			0	
True	65280	A14	1777			0	
True	255	A15	1777	22.91		0	
True	255	A16	1778	26.45		0	
True	255	A17	1778	23.06		0	
True	255	A18	1778	23.69		0	
True	255	A19	1779	26.19		0	
True	255	A20	1779	22.61		0	
True	255	A21	1779	21.92		0	
True	255	A22	POOL CELL LINES	16.13		0	
True	255	A23	POOL CELL LINES	13.62		0	
True	255	A24	POOL CELL LINES	17.12		0	
True	255	B1	1773	27.08		0	
True	255	B2	1773	28.29		0	
True	255	B3	1773	25.39		0	
True	255	B4	1774	28.26		0	
True	255	B5	1774	26.94		0	
True	255	B6	1774	25.24		0	
True	255	B7	1775	29.38		0	
True	255	B8	1775	30.01		0	
True	255	B9	1775	28.58		0	
True	255	B10	1776	30.55		0	
True	255	B11	1776	24.12		0	
True	255	B12	1776	27.84		0	
True	255	B13	1777	29.73		0	
True	255	B14	1777	28.69		0	
True	255	B15	1777	27.74		0	
True	255	B16	1778	28.32		0	
True	255	B17	1778	30.69		0	
True	255	B18	1778	27.25		0	
True	255	B19	1779	27.94		0	
True	255	B20	1779	27.97		0	
True	255	B21	1779	26.30		0	
True	255	B22	POOL CELL LINES	21.70		0	
True	255	B23	POOL CELL LINES	18.90		0	
True	255	B24	POOL CELL LINES	17.51		0	
True	255	C1	1773	28.66		0	
True	255	C2	1773	24.66		0	
True	255	C3	1773	26.61		0	
True	255	C4	1774	27.41		0	
True	255	C5	1774	27.30		0	
True	255	C6	1774	26.69		0	
True	255	C7	1775	31.53		0	
True	255	C8	1775	27.29		0	
True	255	C9	1775	28.42		0	
True	255	C10	1776	28.00		0	
True	255	C11	1776	26.30		0	
True	255	C12	1776	28.05		0	
True	255	C13	1777	28.60		0	
True	255	C14	1777	29.06		0	
True	255	C15	1777	28.56		0	
True	255	C16	1778	28.17		0	
True	255	C17	1778	26.99		0	
True	255	C18	1778	27.92		0	
True	255	C19	1779	28.52		0	
True	255	C20	1779	26.80		0	
True	255	C21	1779	26.85		0	
True	255	C22	POOL CELL LINES	19.73		0	
True	255	C23	POOL CELL LINES	15.89		0	
True	255	C24	POOL CELL LINES	20.45		0	
True	255	D1	1773	28.61		0	
True	255	D2	1773	34.20		0	
True	255	D3	1773	23.07		0	
True	255	D4	1774	28.97		0	
True	255	D5	1774	33.07		0	
True	255	D6	1774	26.07		0	
True	255	D7	1775	31.32		0	
True	65280	D8	1775			0	
True	255	D9	1775	24.57		0	
True	255	D10	1776	29.27		0	
True	255	D11	1776	33.10		0	
True	255	D12	1776	29.60		0	
True	255	D13	1777	30.14		0	
True	255	D14	1777	33.94		0	
True	255	D15	1777	28.04		0	
True	255	D16	1778	28.86		0	
True	255	D17	1778	36.61		0	
True	255	D18	1778	26.07		0	
True	255	D19	1779	29.03		0	
True	255	D20	1779	35.74		0	
True	255	D21	1779	26.95		0	
True	255	D22	POOL CELL LINES	18.36		0	
True	255	D23	POOL CELL LINES	20.06		0	
True	255	D24	POOL CELL LINES	17.14		0	
True	255	E1	1773	27.96		0	
True	255	E2	1773	25.09		0	
True	255	E3	1773	25.87		0	
True	255	E4	1774	27.06		0	
True	255	E5	1774	25.09		0	
True	255	E6	1774	26.61		0	
True	255	E7	1775	29.84		0	
True	255	E8	1775	26.74		0	
True	255	E9	1775	28.08		0	
True	255	E10	1776	29.81		0	
True	255	E11	1776	24.99		0	
True	255	E12	1776	27.03		0	
True	255	E13	1777	28.07		0	
True	255	E14	1777	24.11		0	
True	255	E15	1777	27.71		0	
True	255	E16	1778	28.19		0	
True	255	E17	1778	24.93		0	
True	255	E18	1778	27.57		0	
True	255	E19	1779	27.89		0	
True	255	E20	1779	25.91		0	
True	255	E21	1779	26.03		0	
True	255	E22	POOL CELL LINES	19.18		0	
True	255	E23	POOL CELL LINES	16.08		0	
True	255	E24	POOL CELL LINES	20.39		0	
True	255	F1	1773	33.10		0	
True	255	F2	1773	25.67		0	
True	255	F3	1773	24.06		0	
True	255	F4	1774	32.28		0	
True	255	F5	1774	25.95		0	
True	255	F6	1774	26.23		0	
True	255	F7	1775	35.22		0	
True	255	F8	1775	28.29		0	
True	255	F9	1775	27.26		0	
True	255	F10	1776	33.75		0	
True	255	F11	1776	27.82		0	
True	255	F12	1776	28.00		0	
True	255	F13	1777	32.67		0	
True	255	F14	1777	28.12		0	
True	255	F15	1777	27.64		0	
True	255	F16	1778	33.30		0	
True	255	F17	1778	27.98		0	
True	255	F18	1778	24.12		0	
True	255	F19	1779	33.11		0	
True	255	F20	1779	25.77		0	
True	255	F21	1779	25.86		0	
True	255	F22	POOL CELL LINES	23.93		0	
True	255	F23	POOL CELL LINES	17.92		0	
True	255	F24	POOL CELL LINES	24.07		0	
True	255	G1	1773	27.16		0	
True	255	G2	1773	27.76		0	
True	255	G3	1773	26.97		0	
True	255	G4	1774	28.09		0	
True	255	G5	1774	27.16		0	
True	255	G6	1774	27.34		0	
True	255	G7	1775	29.84		0	
True	255	G8	1775	30.25		0	
True	255	G9	1775	29.57		0	
True	255	G10	1776	27.79		0	
True	255	G11	1776	24.83		0	
True	255	G12	1776	29.15		0	
True	255	G13	1777	28.66		0	
True	255	G14	1777	28.80		0	
True	255	G15	1777	29.14		0	
True	255	G16	1778	27.56		0	
True	255	G17	1778	28.59		0	
True	255	G18	1778	28.72		0	
True	255	G19	1779	27.76		0	
True	255	G20	1779	27.72		0	
True	255	G21	1779	28.20		0	
True	255	G22	POOL CELL LINES	18.36		0	
True	255	G23	POOL CELL LINES	18.58		0	
True	255	G24	POOL CELL LINES	19.83		0	
True	255	H1	1773	27.04		0	
True	255	H2	1773	25.40		0	
True	255	H3	1773	26.20		0	
True	255	H4	1774	28.26		0	
True	255	H5	1774	25.04		0	
True	255	H6	1774	24.11		0	
True	255	H7	1775	30.62		0	
True	255	H8	1775	27.50		0	
True	255	H9	1775	28.55		0	
True	255	H10	1776	27.48		0	
True	255	H11	1776	21.97		0	
True	255	H12	1776	28.64		0	
True	255	H13	1777	28.67		0	
True	255	H14	1777	26.34		0	
True	255	H15	1777	26.93		0	
True	255	H16	1778	28.27		0	
True	255	H17	1778	27.16		0	
True	255	H18	1778	28.40		0	
True	255	H19	1779	28.20		0	
True	255	H20	1779	25.00		0	
True	255	H21	1779	27.47		0	
True	255	H22	POOL CELL LINES	16.52		0	
True	255	H23	POOL CELL LINES	15.35		0	
True	255	H24	POOL CELL LINES	22.08		0	
True	255	I1	1773	26.49		0	
True	255	I2	1773	26.91		0	
True	255	I3	1773	23.23		0	
True	255	I4	1774	24.91		0	
True	255	I5	1774	33.94		0	
True	255	I6	1774	25.99		0	
True	255	I7	1775	28.60		0	
True	65280	I8	1775			0	
True	255	I9	1775	26.12		0	
True	255	I10	1776	25.35		0	
True	255	I11	1776	31.95		0	
True	255	I12	1776	28.73		0	
True	255	I13	1777	27.04		0	
True	255	I14	1777	34.33		0	
True	255	I15	1777	30.23		0	
True	255	I16	1778	26.24		0	
True	255	I17	1778	27.20		0	
True	255	I18	1778	27.36		0	
True	255	I19	1779	25.91		0	
True	255	I20	1779	33.53		0	
True	255	I21	1779	23.76		0	
True	255	I22	POOL CELL LINES	16.70		0	
True	255	I23	POOL CELL LINES	23.30		0	
True	255	I24	POOL CELL LINES	20.02		0	
True	255	J1	1773	25.05		0	
True	255	J2	1773	27.50		0	
True	255	J3	1773	28.12		0	
True	255	J4	1774	24.50		0	
True	255	J5	1774	28.97		0	
True	255	J6	1774	28.89		0	
True	255	J7	1775	27.98		0	
True	255	J8	1775	31.24		0	
True	255	J9	1775	31.24		0	
True	255	J10	1776	25.77		0	
True	255	J11	1776	27.32		0	
True	255	J12	1776	27.78		0	
True	255	J13	1777	26.54		0	
True	255	J14	1777	28.91		0	
True	255	J15	1777	31.52		0	
True	255	J16	1778	25.25		0	
